A,B,C,D,E,F,G,H,estimate
0.0656,0.3165,0.352,0.0596,0.1641,0.0227,0.0178,0.0017,obs2018
0.0647,0.2798,0.3587,0.0624,0.1684,0.0475,0.0168,0.0018,obs2022
0.0656,0.3165,0.3519,0.0596,0.1628,0.0238,0.018,0.0017,sample_pred2018
0.0624,0.2813,0.3478,0.0716,0.1941,0.0262,0.0149,0.0016,sample_pred2019
0.0635,0.2849,0.349,0.0742,0.1849,0.0277,0.0142,0.0017,sample_pred2020
0.0659,0.2864,0.3371,0.0657,0.2029,0.0247,0.0158,0.0015,sample_pred2021
0.0648,0.2814,0.3512,0.0639,0.1918,0.0299,0.0149,0.002,sample_pred2022
0.0652,0.2861,0.3603,0.0627,0.1837,0.0256,0.0146,0.0019,master_pred2018
0.0636,0.2739,0.3581,0.0619,0.2012,0.025,0.0148,0.0016,master_pred2019
0.064,0.2723,0.3571,0.0704,0.1922,0.0276,0.0146,0.0018,master_pred2020
0.0667,0.2867,0.3429,0.0625,0.199,0.0262,0.0144,0.0017,master_pred2021
0.066,0.2818,0.3602,0.0607,0.1864,0.0294,0.0134,0.0021,master_pred2022
