A,B,C,D,E,F,G,H,estimate
0.0656,0.3165,0.352,0.0596,0.1641,0.0227,0.0178,0.0017,obs2018
0.0647,0.2798,0.3587,0.0624,0.1684,0.0475,0.0168,0.0018,obs2022
0.0635,0.2942,0.349,0.0695,0.1804,0.0255,0.0158,0.0021,sample_pred2018
0.0588,0.2599,0.3497,0.0683,0.2201,0.0256,0.0144,0.0031,sample_pred2019
0.0594,0.2667,0.3538,0.0631,0.2139,0.0253,0.0147,0.0031,sample_pred2020
0.0612,0.2922,0.3432,0.0578,0.2026,0.0264,0.0143,0.0023,sample_pred2021
0.0585,0.2997,0.3571,0.0548,0.1858,0.0274,0.0141,0.0026,sample_pred2022
0.0654,0.2886,0.3596,0.0646,0.1783,0.0261,0.0145,0.0028,master_pred2018
0.0606,0.2674,0.3598,0.0586,0.2127,0.0239,0.0139,0.0031,master_pred2019
0.0605,0.2755,0.3649,0.0608,0.1964,0.0251,0.0138,0.003,master_pred2020
0.0627,0.2988,0.3512,0.0549,0.191,0.0253,0.013,0.0031,master_pred2021
0.0586,0.304,0.3662,0.053,0.1764,0.0261,0.0127,0.0031,master_pred2022
