POINT_ID,longitude,latitude
40562450,6.637064124,45.108137197
40582442,6.666731494,45.036920048
40582444,6.66565389,45.054926881
40582446,6.664575372,45.072933475
40582448,6.663495941,45.090939831
40582450,6.662415595,45.108945949
40602442,6.692050955,45.037721482
40602444,6.690981509,45.055728616
40602446,6.689911156,45.07373551
40602448,6.688839896,45.091742166
40602450,6.687767728,45.109748584
40602452,6.686694651,45.127754765
40622442,6.717371071,45.03851681
40622444,6.716309782,45.056524241
40622446,6.715247595,45.074531433
40622448,6.714184507,45.092538387
40622450,6.713120518,45.110545104
40622452,6.712055627,45.128551583
40642440,6.743744072,45.021298066
40642442,6.742691834,45.039306031
40642444,6.741638705,45.057313757
40642446,6.740584684,45.075321245
40642448,6.739529769,45.093328495
40642450,6.73847396,45.111335507
40642452,6.737417255,45.129342283
40662428,6.775303324,44.91402631
40662430,6.774264523,44.932036007
40662432,6.773224844,44.950045463
40662434,6.772184286,44.968054679
40662436,6.771142848,44.986063655
40662438,6.770100528,45.004072391
40662440,6.769057326,45.022080887
40662442,6.768013242,45.040089145
40662444,6.766968272,45.058097164
40662446,6.765922418,45.076104945
40662448,6.764875677,45.094112488
40662450,6.763828049,45.112119795
40662452,6.762779532,45.130126864
40662454,6.761730125,45.148133697
40682426,6.801598254,44.89679106
40682428,6.800568436,44.914801288
40682430,6.799537748,44.932811274
40682432,6.798506188,44.95082102
40682434,6.797473757,44.968830525
40682436,6.796440452,44.98683979
40682438,6.795406273,45.004848816
40682440,6.794371218,45.022857602
40682442,6.793335287,45.040866151
40682444,6.792298479,45.05887446
40682446,6.791260792,45.076882532
40682448,6.790222226,45.094890367
40682450,6.789182779,45.112897965
40682452,6.788142451,45.130905326
40682454,6.78710124,45.148912452
40702424,6.827876736,44.879548904
40702426,6.826855887,44.89755966
40702428,6.825834176,44.915570174
40702430,6.824811601,44.933580447
40702432,6.823788163,44.951590479
40702434,6.822763858,44.969600272
40702436,6.821738688,44.987609824
40702438,6.82071265,45.005619138
40702440,6.819685743,45.023628212
40702442,6.818657967,45.041637049
40702444,6.81762932,45.059645647
40702446,6.816599802,45.077654008
40702448,6.815569411,45.095662131
40702450,6.814538147,45.113670018
40702452,6.813506008,45.131677669
40722382,6.87419875,44.502022822
40722384,6.873203737,44.520039026
40722386,6.872207889,44.53805498
40722422,6.854138784,44.862299849
40722424,6.85312689,44.88031113
40722426,6.852114142,44.898322169
40722428,6.851100539,44.916332968
40722430,6.850086079,44.934343525
40722432,6.849070761,44.952353842
40722434,6.848054585,44.97036392
40722436,6.847037549,44.988373757
40722438,6.846019653,45.006383356
40722440,6.845000895,45.024392717
40722442,6.843981275,45.042401839
40722444,6.842960791,45.060410723
40722446,6.841939442,45.07841937
40722448,6.840917228,45.096427781
40722450,6.839894146,45.114435955
40722452,6.838870197,45.132443893
40722524,6.801421268,45.780576162
40742366,6.90714768,44.358632198
40742368,6.906167216,44.376650695
40742370,6.905185932,44.394668939
40742372,6.904203826,44.412686929
40742380,6.900267173,44.484756369
40742382,6.899280947,44.502773101
40742384,6.898293894,44.520789582
40742386,6.897306013,44.538805813
40742422,6.879381459,44.863055705
40742424,6.878377661,44.881067268
40742426,6.877373015,44.899078589
40742428,6.87636752,44.917089669
40742430,6.875361175,44.935100509
40742432,6.874353979,44.953111108
40742434,6.873345932,44.971121468
40742436,6.872337033,44.989131589
40742438,6.871327279,45.007141471
40742440,6.870316671,45.025151115
40742442,6.869305207,45.043160521
40742444,6.868292886,45.061169689
40742446,6.867279707,45.07917862
40742448,6.86626567,45.097187315
40742450,6.865250773,45.115195774
40742516,6.831270022,45.709345266
40742518,6.830225271,45.727345953
40742520,6.829179623,45.74534642
40742522,6.828133078,45.763346665
40742524,6.827085634,45.781346691
40742526,6.826037291,45.799346497
40742528,6.824988046,45.817346084
40742530,6.823937899,45.835345452
40762364,6.933138765,44.341355226
40762366,6.932167022,44.359374249
40762368,6.931194466,44.377393019
40762370,6.930221097,44.395411535
