A,B,C,D,E,F,G,H,estimate
0.0656,0.3165,0.352,0.0596,0.1641,0.0227,0.0178,0.0017,obs2018
0.0647,0.2798,0.3587,0.0624,0.1684,0.0475,0.0168,0.0018,obs2022
0.0642,0.2862,0.3529,0.0806,0.166,0.0283,0.0197,0.0021,sample_pred2018
0.0646,0.266,0.3824,0.0459,0.2004,0.0274,0.0123,9e-04,sample_pred2019
0.0661,0.2732,0.393,0.0454,0.1749,0.0329,0.0139,6e-04,sample_pred2020
0.0646,0.246,0.3664,0.0454,0.2319,0.0275,0.0174,8e-04,sample_pred2021
0.0634,0.2421,0.3702,0.0572,0.2194,0.029,0.0173,0.0014,sample_pred2022
0.0677,0.2733,0.3681,0.0628,0.1831,0.0264,0.0156,0.0031,master_pred2018
0.0668,0.2612,0.3881,0.0368,0.2062,0.0265,0.0133,0.0011,master_pred2019
0.0685,0.2652,0.3953,0.0492,0.1766,0.0299,0.0143,9e-04,master_pred2020
0.0653,0.2525,0.376,0.0419,0.2206,0.0266,0.016,0.0011,master_pred2021
0.063,0.2334,0.3812,0.0577,0.2165,0.0285,0.0181,0.0015,master_pred2022
